Country,Notes,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,year,value
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,
North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,
Algeria,§4,...,...,...,...,...,...,...,...,...,...,...,43.14308515594301,45.97878089389232,...,66.43630014624088,99.85699991492913,105.52839139082775,104.51564291298871,99.24935082822572,99.24935082822572,99.24935082822572,98.8442514370901,99.94626107347578,109.94284132833093,136.75709779179812,260.1686300304969,332.2521591832704,480.64037350317733,471.6694479545477,627.8524420686351,711.6812473561417,890.1744648138738,806.5693346092622,932.4527077494615,952.4306715669896,929.2908212715492,953.2996539241816,1127.1032171353716,1196.9713840329584,1988,1028.6114252963346
Libya,‡§¶16,...,...,...,...,...,...,...,...,...,...,5.571997771200891,5.571997771200891,7.167997132801148,16.687993324802672,18.67599252960299,21.475991409603434,29.119988352004658,58.519976592009364,79.51996819201273,95.47996180801529,143.0799427680229,242.47990300803883,243.03587164562788,202.76822710041438,298.3074800183984,431.68237904955566,287.7882526997038,326.2951315820585,479.6470878328396,729.9418005681453,853.5691485588632,1074.1392530341056,557.3345223136477,709.3324506085058,...,...,...,...,...,1988,...
Morocco,§17,...,...,...,...,...,...,...,23.71428571428571,35.40197972330705,41.69227763721524,41.88051734756723,41.59676236886152,48.275957466569444,53.84854035873997,74.89393319619248,69.99322200024109,63.17570037684098,67.93808504710019,70.3489187805924,90.90028831200141,84.97200863947958,88.92419508782747,111.28801020206102,140.4469916036651,185.7839938445356,241.88916121443464,413.3261278868054,577.2394333051991,731.4554720374832,772.5593819524945,896.3538020019851,1117.9556221660548,975.5814627921815,959.4854408585726,628.1534229931996,512.4544012058285,692.472049689441,728.5456326803186,815.38610613657,1988,917.2691447957463
Tunisia,,...,...,...,...,...,...,...,3.7142857142857144,6.411149825783972,9.523809523809524,14.285714285714285,15.952380952380953,18.57142857142857,14.285714285714285,15.238095238095239,17.478991596638657,12.761904761904761,13.714285714285715,15.428571428571427,17.523809523809522,16.952380952380953,22.476190476190474,24.860541921566902,31.65067713584429,38.1882181045361,46.50544778102577,75.32310629507268,83.96011894350183,121.69250495395734,148.4966516167633,160.90064999926196,194.09611955925857,228.83573239584933,328.6004262832939,383.48947429677634,249.4744687725676,215.9387222946545,206.79345464712247,194.4097834822883,1988,232.92034077714723
sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,
Angola,§‖1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,343.27160906477707,504.71288187713094,497.35944916104023,618.8916371415203,668.493883280968,778.6282505515074,1066.2477438331439,1146.4670098268602,1156.494418076075,1487.3988903001539,1988,1469.3829801457314
Benin,§,...,...,...,...,...,...,...,...,...,...,...,1.3010053222945004,2.1732039468319337,2.7345376182585484,2.9630717993926927,3.80366245352553,3.994923712871489,3.724387206017633,3.910553209133296,4.293821824571324,4.0159870134366304,4.099087202382029,4.285361495663795,4.90421699176282,6.698401446459897,6.44772647016057,7.857666123846897,7.1604938271604945,10.147346141322044,8.552841493246358,17.562828480364043,23.617947747065507,17.18611420853712,16.554779888376963,17.76595130502328,21.23778769993386,19.810222519993857,26.277338538748968,35.60293740870509,1988,36.931589267008675
Botswana,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.650505962278492,14.30586229422682,24.355619031492978,31.84406060021229,31.16268174745261,23.551463589922886,24.454614241565096,26.109660574412533,20.997913348786117,34.310908181402134,73.82634281153585,1988,93.74709475606889
