Region,2024 (current prices),Unnamed: 39,Omitted countries,year,value
World,2718.18371875139,,,1988,1749.513662987565
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1988,20.85543275452879
North Africa,30.201147045776676,,,1988,3.446906251815468
sub-Saharan Africa,21.851767848375367,,,1988,17.40852650271332
Americas,1100.039531310176,,Cuba,1988,862.5292594866686
Central America and the Caribbean,19.781283367512405,,,1988,5.150470165897018
North America,1026.655897810219,,,1988,817.7650178554456
South America,53.602350132444535,,,1988,39.613771465325804
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1988,133.223933918682
Oceania,36.98674327781575,,,1988,15.67190797253588
South Asia,102.3815205919318,,,1988,25.699714020724098
East Asia,433.1594053700567,,,1988,76.31692088890017
South East Asia,54.86528321337011,,,1988,14.998786952248137
Central Asia,1.9284080397939944,,,1988,0.5366040842737018
Europe,693.4417221375255,,,1988,660.1059408307327
Central Europe,74.9747613412554,,,1988,71.05629643596062
Eastern Europe,221.0853464281265,,,1988,282.701387081268
Western Europe,397.3816143681436,,,1988,306.34825731350395
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1988,72.79909599695313
World,2718.18371875139,,,1989,1728.6568605262898
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1989,21.216506249488663
North Africa,30.201147045776676,,,1989,3.5899761846568157
sub-Saharan Africa,21.851767848375367,,,1989,17.62653006483185
Americas,1100.039531310176,,Cuba,1989,853.4877625126677
Central America and the Caribbean,19.781283367512405,,,1989,5.308959364263992
North America,1026.655897810219,,,1989,810.9239254462102
South America,53.602350132444535,,,1989,37.25487770219351
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1989,140.2255631370872
Oceania,36.98674327781575,,,1989,15.648313425217061
South Asia,102.3815205919318,,,1989,26.796493831816885
East Asia,433.1594053700567,,,1989,80.92248595064346
South East Asia,54.86528321337011,,,1989,16.286247336419766
Central Asia,1.9284080397939944,,,1989,0.5720225929899664
Europe,693.4417221375255,,,1989,646.324003005644
Central Europe,74.9747613412554,,,1989,76.53166483585215
Eastern Europe,221.0853464281265,,,1989,262.132323901797
Western Europe,397.3816143681436,,,1989,307.6600142679949
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1989,67.40302562140211
World,2718.18371875139,,,1990,1660.7352480741647
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1990,21.07770029253264
North Africa,30.201147045776676,,,1990,3.5753387362857945
sub-Saharan Africa,21.851767848375367,,,1990,17.50236155624684
Americas,1100.039531310176,,Cuba,1990,815.0815936095721
Central America and the Caribbean,19.781283367512405,,,1990,4.9129330831605715
North America,1026.655897810219,,,1990,777.9970625875436
South America,53.602350132444535,,,1990,32.17159793886808
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1990,146.74482683181745
Oceania,36.98674327781575,,,1990,15.843685009334735
South Asia,102.3815205919318,,,1990,26.809511993005625
East Asia,433.1594053700567,,,1990,85.53689286147446
South East Asia,54.86528321337011,,,1990,17.959090616962186
Central Asia,1.9284080397939944,,,1990,0.59564635104044
Europe,693.4417221375255,,,1990,582.7877546017556
Central Europe,74.9747613412554,,,1990,50.37851130601976
Eastern Europe,221.0853464281265,,,1990,221.76029946222798
Western Europe,397.3816143681436,,,1990,310.6489438335079
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1990,95.04337273848697
World,2718.18371875139,,,1991,...
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1991,18.319674396654868
North Africa,30.201147045776676,,,1991,3.697637090786171
sub-Saharan Africa,21.851767848375367,,,1991,14.6220373058687
Americas,1100.039531310176,,Cuba,1991,721.2085777174118
Central America and the Caribbean,19.781283367512405,,,1991,4.716170710512872
North America,1026.655897810219,,,1991,688.0541600415203
South America,53.602350132444535,,,1991,28.438246965378653
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1991,149.17458061709291
Oceania,36.98674327781575,,,1991,15.893751863681576
South Asia,102.3815205919318,,,1991,25.88257995512149
East Asia,433.1594053700567,,,1991,88.55614970874454
South East Asia,54.86528321337011,,,1991,18.245576947788177
Central Asia,1.9284080397939944,,,1991,0.5965221417571156
Europe,693.4417221375255,,,1991,...
Central Europe,74.9747613412554,,,1991,36.03168604850833
Eastern Europe,221.0853464281265,,,1991,...
Western Europe,397.3816143681436,,,1991,305.0327969785808
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1991,107.11907596671657
World,2718.18371875139,,,1992,1388.0996753045363
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1992,16.843797542087966
North Africa,30.201147045776676,,,1992,4.2067921801809725
sub-Saharan Africa,21.851767848375367,,,1992,12.637005361906995
Americas,1100.039531310176,,Cuba,1992,755.4564627326118
Central America and the Caribbean,19.781283367512405,,,1992,5.162723965012124
North America,1026.655897810219,,,1992,723.8855855179578
South America,53.602350132444535,,,1992,26.408153249641888
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1992,156.14978002516557
Oceania,36.98674327781575,,,1992,16.154207150964627
South Asia,102.3815205919318,,,1992,25.503654630957747
East Asia,433.1594053700567,,,1992,95.2378971309527
South East Asia,54.86528321337011,,,1992,18.648433260615978
Central Asia,1.9284080397939944,,,1992,0.6055878516745231
Europe,693.4417221375255,,,1992,375.2623507339906
Central Europe,74.9747613412554,,,1992,33.38148236747887
Eastern Europe,221.0853464281265,,,1992,48.97465788914072
Western Europe,397.3816143681436,,,1992,292.90621047737096
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1992,84.38728427068041
World,2718.18371875139,,,1993,1325.224148503311
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1993,19.301098526174922
North Africa,30.201147045776676,,,1993,4.429039774033673
sub-Saharan Africa,21.851767848375367,,,1993,14.872058752141248
Americas,1100.039531310176,,Cuba,1993,722.2414496449398
Central America and the Caribbean,19.781283367512405,,,1993,5.272511488420245
North America,1026.655897810219,,,1993,686.0672031872546
South America,53.602350132444535,,,1993,30.901734969265025
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1993,159.73246619762685
Oceania,36.98674327781575,,,1993,16.654100596369464
South Asia,102.3815205919318,,,1993,28.060825553100166
East Asia,433.1594053700567,,,1993,95.33863846035648
South East Asia,54.86528321337011,,,1993,18.973287241081593
Central Asia,1.9284080397939944,,,1993,0.7056143467192244
Europe,693.4417221375255,,,1993,344.36693087205896
Central Europe,74.9747613412554,,,1993,22.12585847080082
Eastern Europe,221.0853464281265,,,1993,42.99980813363399
Western Europe,397.3816143681436,,,1993,279.24126426762416
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1993,79.58220326251049
World,2718.18371875139,,,1994,1291.566313342043
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1994,26.126246397193835
North Africa,30.201147045776676,,,1994,4.800439059973445
sub-Saharan Africa,21.851767848375367,,,1994,21.325807337220393
Americas,1100.039531310176,,Cuba,1994,690.6040644107044
Central America and the Caribbean,19.781283367512405,,,1994,6.119866113618932
North America,1026.655897810219,,,1994,651.0777715578829
South America,53.602350132444535,,,1994,33.406426739202445
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",1994,160.8436021146614
Oceania,36.98674327781575,,,1994,16.871286352042038
South Asia,102.3815205919318,,,1994,28.273651930929606
East Asia,433.1594053700567,,,1994,94.67994382513366
South East Asia,54.86528321337011,,,1994,20.576768502538876
Central Asia,1.9284080397939944,,,1994,0.44195150401725913
Europe,693.4417221375255,,,1994,337.8961689751918
Central Europe,74.9747613412554,,,1994,22.877224154181352
Eastern Europe,221.0853464281265,,,1994,42.00311267549726
Western Europe,397.3816143681436,,,1994,273.01583214551323
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",1994,76.09623144429163
World,2718.18371875139,,,1995,1220.7298258418914
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",1995,15.909806526418206
North Africa,30.201147045776676,,,1995,4.5768319775790856
sub-Saharan Africa,21.851767848375367,,,1995,11.332974548839124
Americas,1100.039531310176,,Cuba,1995,652.9382261108555
Central America and the Caribbean,19.781283367512405,,,1995,5.267910594445046
North America,1026.655897810219,,,1995,608.3177892061976
